num_files,source_x_size,source_y_size,source_z_size,tiles_x_count,tiles_y_count,tiles_z_count,buffer_z_size,separate_time_us,virtual_time_us
1,256,256,1,1,1,1,1,1306,945
1,256,256,1,1,1,1,1,1293,934
1,256,256,1,1,1,1,1,1276,930
1,256,256,1,1,1,1,1,1292,931
1,256,256,1,1,1,1,1,1286,943
1,256,256,1,1,1,1,1,1277,933
1,256,256,1,1,1,1,1,1288,930
1,256,256,1,1,1,1,1,1279,936
1,256,256,1,1,1,1,1,1277,930
1,256,256,1,1,1,1,1,1284,934
2,256,256,1,1,2,1,1,1928,1361
2,256,256,1,1,2,1,1,1894,1349
2,256,256,1,1,2,1,1,1906,1363
2,256,256,1,1,2,1,1,1908,1351
2,256,256,1,1,2,1,1,1910,1357
2,256,256,1,1,2,1,1,1903,1354
2,256,256,1,1,2,1,1,1909,1350
2,256,256,1,1,2,1,1,1906,1356
2,256,256,1,1,2,1,1,1913,1356
2,256,256,1,1,2,1,1,1913,1345
3,256,256,1,1,3,1,1,2354,1889
3,256,256,1,1,3,1,1,2331,1875
3,256,256,1,1,3,1,1,2347,1874
3,256,256,1,1,3,1,1,2338,1885
3,256,256,1,1,3,1,1,2329,1865
3,256,256,1,1,3,1,1,2336,1869
3,256,256,1,1,3,1,1,2324,1870
3,256,256,1,1,3,1,1,2340,1875
3,256,256,1,1,3,1,1,2348,1891
3,256,256,1,1,3,1,1,2324,1873
4,256,256,1,1,4,1,1,2786,2376
4,256,256,1,1,4,1,1,2884,2396
4,256,256,1,1,4,1,1,2776,2381
4,256,256,1,1,4,1,1,2788,2410
4,256,256,1,1,4,1,1,2761,2377
4,256,256,1,1,4,1,1,2782,2394
4,256,256,1,1,4,1,1,2771,2385
4,256,256,1,1,4,1,1,2754,2379
4,256,256,1,1,4,1,1,2761,2376
4,256,256,1,1,4,1,1,2759,2379
5,256,256,1,1,5,1,1,3217,3116
5,256,256,1,1,5,1,1,3192,3026
5,256,256,1,1,5,1,1,3197,2999
5,256,256,1,1,5,1,1,3180,2962
5,256,256,1,1,5,1,1,3182,2932
5,256,256,1,1,5,1,1,3179,2945
5,256,256,1,1,5,1,1,3184,2911
5,256,256,1,1,5,1,1,3176,2914
5,256,256,1,1,5,1,1,3199,2923
5,256,256,1,1,5,1,1,3185,2926
6,256,256,1,1,6,1,1,3647,3604
6,256,256,1,1,6,1,1,3621,3486
6,256,256,1,1,6,1,1,3612,3451
6,256,256,1,1,6,1,1,3608,3471
6,256,256,1,1,6,1,1,3614,3444
6,256,256,1,1,6,1,1,3615,3459
6,256,256,1,1,6,1,1,3601,3433
6,256,256,1,1,6,1,1,3605,3454
6,256,256,1,1,6,1,1,3618,3429
6,256,256,1,1,6,1,1,3622,3432
7,256,256,1,1,7,1,1,4063,3994
7,256,256,1,1,7,1,1,4031,3958
7,256,256,1,1,7,1,1,4151,3954
7,256,256,1,1,7,1,1,4024,3927
7,256,256,1,1,7,1,1,4043,3973
7,256,256,1,1,7,1,1,4031,3943
7,256,256,1,1,7,1,1,4034,3951
7,256,256,1,1,7,1,1,4019,3938
7,256,256,1,1,7,1,1,4038,3950
7,256,256,1,1,7,1,1,4032,3951
8,256,256,1,1,8,1,1,4491,4445
8,256,256,1,1,8,1,1,4458,4462
8,256,256,1,1,8,1,1,4449,4462
8,256,256,1,1,8,1,1,4442,4466
8,256,256,1,1,8,1,1,4456,4590
8,256,256,1,1,8,1,1,4444,4445
8,256,256,1,1,8,1,1,4447,4461
8,256,256,1,1,8,1,1,4438,4441
8,256,256,1,1,8,1,1,4490,4477
8,256,256,1,1,8,1,1,4451,4439
2,256,256,1,2,1,1,1,1910,1392
2,256,256,1,2,1,1,1,1894,1397
2,256,256,1,2,1,1,1,1897,1388
2,256,256,1,2,1,1,1,1896,1379
2,256,256,1,2,1,1,1,1894,1392
2,256,256,1,2,1,1,1,1899,1380
2,256,256,1,2,1,1,1,1897,1383
2,256,256,1,2,1,1,1,1892,1393
2,256,256,1,2,1,1,1,1888,1380
2,256,256,1,2,1,1,1,1914,1396
4,256,256,1,2,2,1,1,2780,2449
4,256,256,1,2,2,1,1,2735,2446
4,256,256,1,2,2,1,1,2754,2578
4,256,256,1,2,2,1,1,2755,2447
4,256,256,1,2,2,1,1,2748,2449
4,256,256,1,2,2,1,1,2761,2461
4,256,256,1,2,2,1,1,2750,2456
4,256,256,1,2,2,1,1,2756,2474
4,256,256,1,2,2,1,1,2744,2449
4,256,256,1,2,2,1,1,2747,2452
6,256,256,1,2,3,1,1,3631,3515
6,256,256,1,2,3,1,1,3577,3509
6,256,256,1,2,3,1,1,3584,3505
6,256,256,1,2,3,1,1,3598,3533
6,256,256,1,2,3,1,1,3590,3509
6,256,256,1,2,3,1,1,3587,3504
6,256,256,1,2,3,1,1,3585,3504
6,256,256,1,2,3,1,1,3574,3497
6,256,256,1,2,3,1,1,3601,3641
6,256,256,1,2,3,1,1,3585,3509
8,256,256,1,2,4,1,1,4496,4584
8,256,256,1,2,4,1,1,4412,4574
8,256,256,1,2,4,1,1,4445,4569
8,256,256,1,2,4,1,1,4427,4589
8,256,256,1,2,4,1,1,4430,4594
8,256,256,1,2,4,1,1,4444,4591
8,256,256,1,2,4,1,1,4430,4579
8,256,256,1,2,4,1,1,4459,4590
8,256,256,1,2,4,1,1,4430,4576
8,256,256,1,2,4,1,1,4435,4574
10,256,256,1,2,5,1,1,5324,5806
10,256,256,1,2,5,1,1,5258,5690
10,256,256,1,2,5,1,1,5245,5694
10,256,256,1,2,5,1,1,5275,5718
10,256,256,1,2,5,1,1,5202,5695
10,256,256,1,2,5,1,1,4904,5698
10,256,256,1,2,5,1,1,5268,5698
10,256,256,1,2,5,1,1,4927,5678
10,256,256,1,2,5,1,1,5279,5402
10,256,256,1,2,5,1,1,4891,5813
12,256,256,1,2,6,1,1,6228,6675
12,256,256,1,2,6,1,1,6095,7107
12,256,256,1,2,6,1,1,6095,6918
12,256,256,1,2,6,1,1,6133,6561
12,256,256,1,2,6,1,1,6097,6798
12,256,256,1,2,6,1,1,5749,6485
12,256,256,1,2,6,1,1,5763,6796
12,256,256,1,2,6,1,1,5732,6748
12,256,256,1,2,6,1,1,5918,6480
12,256,256,1,2,6,1,1,5719,6465
14,256,256,1,2,7,1,1,7072,7704
14,256,256,1,2,7,1,1,6592,8130
14,256,256,1,2,7,1,1,6610,7600
14,256,256,1,2,7,1,1,6967,8049
14,256,256,1,2,7,1,1,6667,8152
14,256,256,1,2,7,1,1,6772,8021
14,256,256,1,2,7,1,1,6947,7967
14,256,256,1,2,7,1,1,6620,7556
14,256,256,1,2,7,1,1,6931,7538
14,256,256,1,2,7,1,1,6597,7999
16,256,256,1,2,8,1,1,7549,9006
16,256,256,1,2,8,1,1,7461,8894
16,256,256,1,2,8,1,1,7585,9324
16,256,256,1,2,8,1,1,7528,8983
16,256,256,1,2,8,1,1,7488,8891
16,256,256,1,2,8,1,1,7474,9268
16,256,256,1,2,8,1,1,7535,8904
16,256,256,1,2,8,1,1,7480,8873
16,256,256,1,2,8,1,1,7466,8907
16,256,256,1,2,8,1,1,7512,8906
3,256,256,1,3,1,1,1,2352,1912
3,256,256,1,3,1,1,1,2314,1911
3,256,256,1,3,1,1,1,2329,1921
3,256,256,1,3,1,1,1,2327,1922
3,256,256,1,3,1,1,1,2329,1914
3,256,256,1,3,1,1,1,2335,1940
3,256,256,1,3,1,1,1,2316,1919
3,256,256,1,3,1,1,1,2322,1927
3,256,256,1,3,1,1,1,2318,1918
3,256,256,1,3,1,1,1,2309,1918
6,256,256,1,3,2,1,1,3644,3563
6,256,256,1,3,2,1,1,3613,3540
6,256,256,1,3,2,1,1,3583,3508
6,256,256,1,3,2,1,1,3594,3539
6,256,256,1,3,2,1,1,3621,3588
6,256,256,1,3,2,1,1,3717,3539
6,256,256,1,3,2,1,1,3591,3518
6,256,256,1,3,2,1,1,3589,3522
6,256,256,1,3,2,1,1,3593,3522
6,256,256,1,3,2,1,1,3934,3589
9,256,256,1,3,3,1,1,5114,5985
9,256,256,1,3,3,1,1,4911,5894
9,256,256,1,3,3,1,1,4919,5534
9,256,256,1,3,3,1,1,4896,5174
9,256,256,1,3,3,1,1,4898,5189
9,256,256,1,3,3,1,1,4903,5321
9,256,256,1,3,3,1,1,5026,5180
9,256,256,1,3,3,1,1,4893,5168
9,256,256,1,3,3,1,1,4927,5196
9,256,256,1,3,3,1,1,4904,5291
12,256,256,1,3,4,1,1,6163,7006
12,256,256,1,3,4,1,1,5853,6692
12,256,256,1,3,4,1,1,6307,6652
12,256,256,1,3,4,1,1,5816,6631
12,256,256,1,3,4,1,1,5827,6982
12,256,256,1,3,4,1,1,6324,6904
12,256,256,1,3,4,1,1,5974,6972
12,256,256,1,3,4,1,1,6186,6925
12,256,256,1,3,4,1,1,5834,6629
12,256,256,1,3,4,1,1,5904,6932
15,256,256,1,3,5,1,1,7550,8403
15,256,256,1,3,5,1,1,7236,8869
15,256,256,1,3,5,1,1,7151,8507
15,256,256,1,3,5,1,1,7138,8384
15,256,256,1,3,5,1,1,7253,8882
15,256,256,1,3,5,1,1,7182,8405
15,256,256,1,3,5,1,1,7157,8369
15,256,256,1,3,5,1,1,7113,8339
15,256,256,1,3,5,1,1,7099,8324
15,256,256,1,3,5,1,1,7140,8989
18,256,256,1,3,6,1,1,8507,10648
18,256,256,1,3,6,1,1,8474,10598
18,256,256,1,3,6,1,1,8459,10283
18,256,256,1,3,6,1,1,8192,10398
18,256,256,1,3,6,1,1,8165,10317
18,256,256,1,3,6,1,1,8332,10341
18,256,256,1,3,6,1,1,8462,10055
18,256,256,1,3,6,1,1,8508,10173
18,256,256,1,3,6,1,1,8463,10137
18,256,256,1,3,6,1,1,8486,10172
21,256,256,1,3,7,1,1,9528,12519
21,256,256,1,3,7,1,1,9551,12672
21,256,256,1,3,7,1,1,10030,12478
21,256,256,1,3,7,1,1,9755,12671
21,256,256,1,3,7,1,1,9678,11934
21,256,256,1,3,7,1,1,9572,12569
21,256,256,1,3,7,1,1,9659,11933
21,256,256,1,3,7,1,1,9917,12293
21,256,256,1,3,7,1,1,9976,12015
21,256,256,1,3,7,1,1,9566,12487
24,256,256,1,3,8,1,1,11163,15266
24,256,256,1,3,8,1,1,11310,14597
24,256,256,1,3,8,1,1,11071,15023
24,256,256,1,3,8,1,1,11244,14534
24,256,256,1,3,8,1,1,11165,14567
24,256,256,1,3,8,1,1,11157,14445
24,256,256,1,3,8,1,1,11181,15147
24,256,256,1,3,8,1,1,11241,14493
24,256,256,1,3,8,1,1,11240,14644
24,256,256,1,3,8,1,1,11151,15090
4,256,256,1,4,1,1,1,2814,2523
4,256,256,1,4,1,1,1,2794,2492
4,256,256,1,4,1,1,1,2767,2485
4,256,256,1,4,1,1,1,2779,2466
4,256,256,1,4,1,1,1,2781,2489
4,256,256,1,4,1,1,1,2774,2470
4,256,256,1,4,1,1,1,2758,2463
4,256,256,1,4,1,1,1,2775,2478
4,256,256,1,4,1,1,1,2781,2477
4,256,256,1,4,1,1,1,2762,2476
8,256,256,1,4,2,1,1,4511,4791
8,256,256,1,4,2,1,1,4451,4830
8,256,256,1,4,2,1,1,4452,4698
8,256,256,1,4,2,1,1,4454,4671
8,256,256,1,4,2,1,1,4479,4695
8,256,256,1,4,2,1,1,4444,4680
8,256,256,1,4,2,1,1,4445,4698
8,256,256,1,4,2,1,1,4474,4706
8,256,256,1,4,2,1,1,4469,4686
8,256,256,1,4,2,1,1,4433,4668
12,256,256,1,4,3,1,1,5966,6618
12,256,256,1,4,3,1,1,5773,6612
12,256,256,1,4,3,1,1,5776,6910
12,256,256,1,4,3,1,1,6151,6873
12,256,256,1,4,3,1,1,5773,6884
12,256,256,1,4,3,1,1,6140,6868
12,256,256,1,4,3,1,1,6144,6591
12,256,256,1,4,3,1,1,5760,6608
12,256,256,1,4,3,1,1,6153,6593
12,256,256,1,4,3,1,1,5765,6913
16,256,256,1,4,4,1,1,7622,9600
16,256,256,1,4,4,1,1,7587,8955
16,256,256,1,4,4,1,1,7584,8964
16,256,256,1,4,4,1,1,7545,8899
16,256,256,1,4,4,1,1,7508,8876
16,256,256,1,4,4,1,1,7534,8829
16,256,256,1,4,4,1,1,7533,8965
16,256,256,1,4,4,1,1,7489,9223
16,256,256,1,4,4,1,1,7546,8884
16,256,256,1,4,4,1,1,7503,8818
20,256,256,1,4,5,1,1,9402,11505
20,256,256,1,4,5,1,1,9366,11140
20,256,256,1,4,5,1,1,9508,11663
20,256,256,1,4,5,1,1,9432,11655
20,256,256,1,4,5,1,1,9469,11379
20,256,256,1,4,5,1,1,9079,11809
20,256,256,1,4,5,1,1,9482,11255
20,256,256,1,4,5,1,1,9344,11729
20,256,256,1,4,5,1,1,9123,11308
20,256,256,1,4,5,1,1,9439,11636
24,256,256,1,4,6,1,1,11015,14748
24,256,256,1,4,6,1,1,11140,14520
24,256,256,1,4,6,1,1,11228,14593
24,256,256,1,4,6,1,1,11099,15202
24,256,256,1,4,6,1,1,11269,14680
24,256,256,1,4,6,1,1,11120,14500
24,256,256,1,4,6,1,1,11070,14623
24,256,256,1,4,6,1,1,11127,14540
24,256,256,1,4,6,1,1,11074,15099
24,256,256,1,4,6,1,1,11241,14607
28,256,256,1,4,7,1,1,12814,18508
