num_files,source_x_size,source_y_size,source_z_size,tiles_x_count,tiles_y_count,tiles_z_count,buffer_z_size,separate_time_us,virtual_time_us
1,256,256,100,1,1,1,10,8827,8607
1,256,256,100,1,1,1,10,7251,8285
1,256,256,100,1,1,1,10,7218,8275
1,256,256,100,1,1,1,10,7229,8267
1,256,256,100,1,1,1,10,7197,8264
1,256,256,100,1,1,1,10,7162,8549
1,256,256,100,1,1,1,10,7210,8402
1,256,256,100,1,1,1,10,7212,8255
1,256,256,100,1,1,1,10,7059,8530
1,256,256,100,1,1,1,10,7238,8251
2,256,256,100,1,1,2,10,16463,18320
2,256,256,100,1,1,2,10,14895,18219
2,256,256,100,1,1,2,10,14905,18294
2,256,256,100,1,1,2,10,15028,18172
2,256,256,100,1,1,2,10,14888,18157
2,256,256,100,1,1,2,10,14855,18189
2,256,256,100,1,1,2,10,14861,18352
2,256,256,100,1,1,2,10,14774,18583
2,256,256,100,1,1,2,10,14950,18172
2,256,256,100,1,1,2,10,14921,18170
3,256,256,100,1,1,3,10,23576,27293
3,256,256,100,1,1,3,10,21187,27543
3,256,256,100,1,1,3,10,21720,27287
3,256,256,100,1,1,3,10,21579,27629
3,256,256,100,1,1,3,10,21628,27144
3,256,256,100,1,1,3,10,21654,27239
3,256,256,100,1,1,3,10,21674,27131
3,256,256,100,1,1,3,10,21462,27669
3,256,256,100,1,1,3,10,21681,27162
3,256,256,100,1,1,3,10,21442,27547
4,256,256,100,1,1,4,10,30031,36495
4,256,256,100,1,1,4,10,28196,35711
4,256,256,100,1,1,4,10,28381,35817
4,256,256,100,1,1,4,10,27995,36267
4,256,256,100,1,1,4,10,28041,36269
4,256,256,100,1,1,4,10,27989,36403
4,256,256,100,1,1,4,10,27970,36265
4,256,256,100,1,1,4,10,28016,35708
4,256,256,100,1,1,4,10,28203,35689
4,256,256,100,1,1,4,10,28204,35928
5,256,256,100,1,1,5,10,37227,45420
5,256,256,100,1,1,5,10,34851,44647
5,256,256,100,1,1,5,10,34749,44664
5,256,256,100,1,1,5,10,34577,45070
5,256,256,100,1,1,5,10,34872,44634
5,256,256,100,1,1,5,10,34600,45179
5,256,256,100,1,1,5,10,34578,45004
5,256,256,100,1,1,5,10,34667,45055
5,256,256,100,1,1,5,10,37076,46867
5,256,256,100,1,1,5,10,37147,47479
6,256,256,100,1,1,6,10,44346,53348
6,256,256,100,1,1,6,10,40748,53339
6,256,256,100,1,1,6,10,40912,53209
6,256,256,100,1,1,6,10,40781,52614
6,256,256,100,1,1,6,10,40832,53142
6,256,256,100,1,1,6,10,40780,53002
6,256,256,100,1,1,6,10,40875,52898
6,256,256,100,1,1,6,10,40843,52627
6,256,256,100,1,1,6,10,40378,53430
6,256,256,100,1,1,6,10,40590,53424
7,256,256,100,1,1,7,10,51625,62208
7,256,256,100,1,1,7,10,47170,61610
7,256,256,100,1,1,7,10,47386,61816
7,256,256,100,1,1,7,10,47010,62090
7,256,256,100,1,1,7,10,47140,61622
7,256,256,100,1,1,7,10,46949,61880
7,256,256,100,1,1,7,10,47286,61553
